Zip Code,City,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
92126,San Diego,371900,363600,360400,355700,332900,322800,331600,337900,337200,325200,326700,328700,323700,3.33E+05,329700,337300,329200,3.47E+05,3.52E+05,356900,356500,350700,346300,332800,3.25E+05,3.36E+05,344600,357100,352400,357800,373100,364800,353200,328100,3.36E+05,334100,343100,331700,319300,325400,327500,338100,332100,327300,329200,323300,318400,305700,311400,317300,324600,317400,319700,329900,3.46E+05,357700,365700,3.69E+05,374800,380600,378300,3.74E+05,383700,384700,388900,387400,404600,409700,410900,402100,403600,4.10E+05,418400,425700,425300,424500,433600,431400,430100,433200,435100,446600,445800,450500,412600,422900,423500,462900,453500,4.69E+05,472400,470500,462100,455100,457800,463400,481900,488600,487400,490800,496200,4.92E+05,462200,468200,4.82E+05,511900,5.14E+05,502300,496300,486300,500500,510100,510800,514700,512200,511200,520200,533500,539200,541800,548300,565400,5.66E+05,566700
92101,San Diego,514500,487700,453100,422500,400700,388300,392700,384900,376900,352800,360700,377400,384500,366200,365500,381100,380600,3.75E+05,371300,379300,366200,347100,351100,387200,404500,389500,3.48E+05,3.35E+05,354200,356500,364400,352700,363100,371800,3.62E+05,363100,349300,378800,363300,367200,358300,3.64E+05,340600,333400,334300,3.45E+05,340200,355400,374100,389600,386900,391100,381100,373300,360700,368800,382800,391500,417500,444600,472200,469600,480600,470100,4.77E+05,452900,464800,4.61E+05,465500,462500,441500,451800,461900,475500,463700,4.60E+05,454800,477300,486600,511500,505700,488300,4.86E+05,521900,536900,534600,505100,490500,478600,4.71E+05,478800,468600,464700,458700,474400,469700,4.68E+05,487800,494400,508200,503600,5.00E+05,496600,4.93E+05,507500,518200,553900,567400,558100,517100,502400,5.25E+05,538600,5.57E+05,531800,529400,526200,553200,559800,5.49E+05,5.60E+05,567400,566900,568100
95747,Roseville,367900,365700,357800,349200,3.34E+05,332200,341300,351300,359800,350900,350400,341600,337700,331500,315500,304100,288300,288600,288500,287800,294700,303200,324200,320600,321100,300500,293700,283200,286900,292800,293700,292600,280500,274400,2.80E+05,278800,282500,2.69E+05,266800,265300,256200,262300,261900,262800,270900,267400,276700,2.69E+05,273600,281200,287600,2.83E+05,284500,2.89E+05,305900,296200,298900,2.99E+05,308300,309900,306500,3.27E+05,332800,345700,346600,354900,365400,363700,3.66E+05,368100,370500,372900,3.67E+05,3.66E+05,365100,359100,364400,363600,376800,379400,378700,379200,379400,377400,378400,375900,388900,386400,386100,382500,380200,380100,3.86E+05,389800,3.95E+05,397400,404600,414200,415200,415500,413100,417800,424500,426300,427800,426400,428200,428800,436100,439100,440400,4.39E+05,440900,443400,4.43E+05,443200,442700,446700,453100,453900,467700,476100,483900,474600
94536,Fremont,611500,542600,5.39E+05,537400,535400,515700,482900,463700,4.35E+05,442900,447700,431900,403400,380100,397600,409200,426900,434100,467600,470300,464700,442500,469400,504500,4.97E+05,470200,4.39E+05,443700,437900,459300,4.44E+05,457200,431900,440300,431900,452800,4.46E+05,426100,4.12E+05,415500,436900,429600,435700,415600,404300,402700,4.34E+05,433900,421400,371400,373300,399500,455800,483100,506800,4.76E+05,485300,489300,537400,576400,592800,561700,556900,566900,597300,594500,579100,587700,594400,598100,599400,605100,589700,6.18E+05,627500,6.52E+05,657400,658200,6.70E+05,668300,695600,703800,705800,676600,661300,664600,685200,724500,736400,731500,740400,745600,749700,734400,730100,744500,767400,782600,783100,762900,775200,802300,8.19E+05,801900,793800,789200,8.33E+05,860900,893600,860700,844200,830600,8.46E+05,862400,877700,919500,921300,972600,997600,1.01E+06,1014100,973400,1020800,1040300
90280,South Gate,383500,340600,326200,309400,304700,2.80E+05,276700,272300,2.73E+05,269100,264600,257700,249300,238600,232600,239800,235100,2.39E+05,230400,2.36E+05,240900,243700,240900,239900,243600,244300,2.39E+05,237800,242400,244400,244700,243300,252700,251100,251500,240300,242900,241400,237800,232600,220400,221900,219400,232400,238900,238100,2.37E+05,231300,233100,230500,228300,229600,232500,237200,239100,245700,257400,267300,268600,2.70E+05,261900,259200,256900,2.69E+05,277400,286600,291400,297800,296200,294500,295600,300900,306500,308600,3.13E+05,312600,321600,321100,327200,324200,313600,3.14E+05,318800,3.36E+05,341700,341800,342400,343500,3.40E+05,336200,333200,348600,360900,365600,362200,352800,355200,359500,365800,367100,369200,380800,383500,382100,377800,386300,388800,387100,387600,393400,401900,405300,3.91E+05,387700,3.90E+05,403100,4.08E+05,411300,416700,421600,425600,431200,430700,437300
92592,Rancho California,388800,343900,327900,311800,318500,318600,309100,300700,289600,284400,272800,268500,263500,252700,237200,231500,239600,255600,263600,258400,2.54E+05,2.57E+05,2.66E+05,273600,274300,271600,263600,266800,274400,273100,262900,266800,281800,293900,288900,281500,271900,267200,262900,262100,262600,261500,265600,263300,265900,267200,269900,267600,263800,261100,263600,269300,286400,291800,299500,290700,296700,3.02E+05,310800,319200,316600,329600,340100,357500,3.63E+05,356900,358300,359500,362400,363500,363500,369700,372400,362400,365300,367400,378500,380200,382200,380200,381400,370500,378600,374700,383800,379700,378200,383500,3.85E+05,389200,3.86E+05,398100,400400,408100,421400,426500,426500,409300,403300,401100,403500,410100,414500,412700,410800,407500,404900,413500,417700,423900,422200,422100,421300,424900,429100,4.33E+05,439300,444400,467500,4.63E+05,468200,4.48E+05,451500,456800
92109,Pacific Beach,6.47E+05,607300,589400,516500,520800,524500,519300,500400,516600,541200,534100,454700,459100,467700,516400,482800,519600,517100,552700,554300,557800,571500,504400,465900,444600,526400,546600,566700,5.53E+05,581500,543800,515900,482900,483700,407400,369600,364400,4.16E+05,457100,461900,4.92E+05,500700,497500,451200,476200,491800,511700,487800,462100,490600,465500,464800,523600,553300,568600,507200,517600,540500,5.05E+05,503700,5.20E+05,593600,618300,629600,628900,641800,648500,653600,7.02E+05,696100,692400,643400,638900,650400,636400,642500,639700,711300,775200,774600,702400,712300,725700,7.31E+05,686800,652200,659800,656300,651700,639700,614300,623600,644600,640600,6.34E+05,623700,6.38E+05,662500,665300,649800,656100,653400,676300,715600,719600,764700,743900,792200,758600,756700,746800,759600,815400,824900,814300,771700,783200,804700,747200,7.36E+05,741100,831400,829400,800300
95123,San Jose,548100,537400,5.14E+05,4.90E+05,487800,484800,4.98E+05,470500,452700,421800,406400,387200,3.54E+05,349400,346400,377200,401400,389100,395300,400400,413200,424100,415700,438300,442800,433100,434900,431600,450400,432800,436300,424600,426900,414600,403200,379500,358300,360300,369200,380700,367800,377600,3.98E+05,419400,409200,3.80E+05,375600,372800,370200,344300,359400,365100,406600,419700,461400,481800,477500,480900,465500,507900,506600,527500,528900,550500,566200,567100,570100,585200,548600,5.47E+05,532100,570600,580900,596300,621700,628700,6.26E+05,610100,611200,615300,617200,611100,616300,6.09E+05,6.30E+05,640100,664200,662900,674100,682700,688400,687700,694300,676600,6.35E+05,6.36E+05,658500,651300,656900,624400,684600,684800,737800,745200,751800,759400,775200,783700,780500,770900,767100,776500,788300,812300,821200,830600,843900,875800,8.97E+05,940400,957800,1006700,1018300,1009100
91342,Kagel Canyon,414500,388800,375300,354500,332400,327100,315600,310400,294500,283900,284300,277500,274500,259400,258700,254900,252400,245500,246400,256500,263500,267800,270400,270500,274700,266100,278800,282200,285500,279300,2.84E+05,286700,280600,2.68E+05,270200,270400,277900,266500,272300,264400,2.71E+05,268800,268400,257300,262100,260800,274100,253200,246200,242200,252800,264700,264700,271800,263400,275500,273800,282700,279900,298100,304300,311800,317300,3.24E+05,324200,320600,3.21E+05,323500,3.30E+05,339300,348700,354200,358700,366700,371400,373700,375300,375100,3.75E+05,373900,3.60E+05,354200,356100,369600,384300,3.82E+05,387400,384700,397900,399500,4.10E+05,408200,410600,406300,406600,4.10E+05,413700,415300,418300,421400,424700,432500,439400,4.46E+05,445800,448700,457900,454900,448800,444900,447900,456600,445300,447900,450900,474600,4.84E+05,488300,489500,500200,511800,509700,496800,490300
92021,Bostonia,312800,333700,323700,2.91E+05,275600,255500,264800,253800,251200,224600,219900,2.21E+05,232700,228100,242500,233400,248900,233300,240800,248300,256700,271800,273200,278800,285400,302100,303700,295900,282200,2.61E+05,255300,254200,256700,267300,241100,245900,234300,245300,222500,217300,226400,249500,255800,255900,251400,258400,260500,273500,2.60E+05,255500,254600,2.60E+05,266100,268100,271600,272300,2.75E+05,286700,301800,316500,320500,320400,322500,336200,344300,329700,3.22E+05,320900,342800,343500,345800,347700,3.43E+05,350900,359700,370700,361100,350900,349100,352100,348300,349900,348700,354700,362600,372600,375400,372600,3.71E+05,365900,370700,387900,390800,397500,397800,423800,424100,406900,388300,3.83E+05,400700,411100,415800,396800,395800,414200,431300,423200,413800,418500,428400,428800,429300,434900,448600,453600,460800,450900,455200,448100,429500,425100,428700,460100
